Entity	From	To	API Call(s)	# Calls	New Backend Endpoint	List	Detail	Move	Clarify	Notes
ACTION	Someday	Reference			POST /v1/action/{id}/transform {target:file}		I	I		"Not in frontend; backend has transform"
ACTION	Someday	Completed	POST /v1/action/{id}/complete	1			I	Y		
ACTION	Someday	Trash	POST /v1/action/{id}/trash	1		Y	I	Y		
PROJECT	Project	Action			POST /v1/project/{id}/transform {target:action}		I	I		"Not in frontend; backend has transform"
PROJECT	Project	Reference			POST /v1/project/{id}/transform {target:file}		I	I		"Not in frontend; backend has transform"
PROJECT	Project	Completed	POST /v1/project/{id}/complete	1			Y	I		
PROJECT	Project	Trash	POST /v1/project/{id}/trash	1		Y	Y	I		
PROJECT	Project	Someday	POST /v1/project/{id}/someday	1			Y	I		Invalid state
PROJECT	Someday	Active	POST /v1/project/{id}/activate	1		Y	Y	I		
PROJECT	Someday	Action			POST /v1/project/{id}/transform {target:action}		I	I		"Not in frontend; backend has transform"
PROJECT	Someday	Reference			POST /v1/project/{id}/transform {target:file}		I	I		"Not in frontend; backend has transform"
PROJECT	Someday	Completed	POST /v1/project/{id}/complete	1			I	I		
PROJECT	Someday	Trash	POST /v1/project/{id}/trash	1		Y	Y	I		
STUFF	Completed	Inbox	POST /v1/stuff/{id}/uncomplete	1		Y	Y	I		
ACTION	Completed	Next	POST /v1/action/{id}/uncomplete	1		Y	Y	I		
PROJECT	Completed	Active	POST /v1/project/{id}/uncomplete	1		Y	Y	I		
STUFF	Trash	Inbox	POST /v1/stuff/{id}/restore	1		Y				
PROJECT	Trash	Active	POST /v1/project/{id}/restore	1		Y				
ACTION	Trash	Next	POST /v1/action/{id}/restore	1		Y				
REFERENCE	File	Stuff			POST /v1/reference/files/{id}/transform {target:stuff}		I	I		"Not in frontend; backend has transform (source_type=1 only)"
REFERENCE	File	Action			POST /v1/reference/files/{id}/transform {target:action}		I	I		"Not in frontend; backend has transform (source_type=2 only)"
REFERENCE	File	Project			POST /v1/reference/files/{id}/transform {target:project}		I	I		"Not in frontend; backend has transform (source_type=3 only)"
